studyID,icerID,uniqueID,firstAuthor,pubYear,title,country,income,asiaPacific,intervention,comparator,comparison,doseNum,baseCase,perspective,currencyName,currencyCountry,priceYear,priceIntvNCU,priceIntvUSD,priceCompNCU,priceCompUSD,herdEffects,seroReplace,efficacyPneum,efficacyIPD,efficacyOtitis,icerMetric,icerNCU,icerUSD,costSaving,gdppc,gdp1decide,gdp3decide,icerGdppc,OHgdppc,OHdecide,OLgdppc,OLdecide,WHgdppc,WHdecide,WLgdppc,WLdecide,RHgdppc,RHdecide,RLgdppc,RLdecide,studyThreshold,studyDecide,switchOH,switchOL,switchWH,switchWL,switchRH,switchRL,switches,budgetImpact,funding
5,3,503,Shen,2018,Estimating the cost-effectiveness of an infant 13-valent pne,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Healthcare/payer,Chinese yuan,China,2015,698,112.1,,,1,0,1,1,1,QALY gained,3777,607,0,8016,Cost-effective,Cost-effective,0.08,0.71,Cost-effective,0.45,Cost-effective,0.648116898,Cost-effective,0.163952209,Cost-effective,0.902715505,Cost-effective,0.374118744,Cost-effective,Two GDPpc,Cost-effective,0,0,0,0,0,0,0,0,Industry
6,1,601,Zhou,2018,Cost-effectiveness analysis of routine 13-valent pneumococca,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Healthcare/payer,US dollar,United States,2016,138.7,138.7,,,0,1,1,1,1,QALY gained,20709,20709,0,8094,Not cost-effective,Cost-effective,2.56,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,One GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Government
6,2,602,Zhou,2018,Cost-effectiveness analysis of routine 13-valent pneumococca,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Societal,US dollar,United States,2016,138.7,138.7,,,0,1,1,1,1,QALY gained,18483,18483,0,8094,Not cost-effective,Cost-effective,2.28,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,One GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Government
7,1,701,Aljunid,2011,Impact of routine PCV7 (Prevenar) vaccination of infants on ,Malaysia,Upper-middle,1,PCV7,NoVax,PCV7 vs NoVax,Four,1,Healthcare/payer,Malaysian ringgit,Malaysia,2007,222,64.6,,,1,0,1,1,1,QALY gained,35196,10239,0,7243,Not cost-effective,Cost-effective,1.41,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,Three GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Industry
8,1,801,Aljunid,2014,Economic impact of pneumococcal protein-D conjugate vaccine ,Malaysia,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,1,Healthcare/payer,US dollar,United States,2010,,,,,1,0,1,1,1,QALY gained,9406,9046,0,9041,Not cost-effective,Cost-effective,1,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,Three GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Industry
8,2,802,Aljunid,2014,Economic impact of pneumococcal protein-D conjugate vaccine ,Malaysia,Upper-middle,1,PCV13,PCV10,PCV13 vs PCV10,Four,1,Healthcare/payer,US dollar,United States,2010,,,,,1,0,1,1,1,QALY gained,61061,61061,0,9041,Not cost-effective,Not cost-effective,6.75,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,Three GDPpc,Not cost-effective,,,,,,,0,0,Industry
9,1,901,Wang,2017,Cost-effectiveness analysis of a universal mass vaccination ,Malaysia,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,1,Healthcare/payer,US dollar,United States,2014,34.3,34.3,,,0,0,1,1,1,QALY gained,28497,28497,0,11319,Not cost-effective,Cost-effective,2.52,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,Three GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Industry
9,2,902,Wang,2017,Cost-effectiveness analysis of a universal mass vaccination ,Malaysia,Upper-middle,1,PCV13,PCV10,PCV13 vs PCV10,Three,0,Healthcare/payer,US dollar,United States,2014,34.3,34.3,34.25,34.3,0,0,1,1,1,QALY gained,44908,44908,0,11319,Not cost-effective,Not cost-effective,3.97,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,Three GDPpc,Not cost-effective,,,,,,,0,0,Industry
10,1,1001,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,1,Healthcare/payer,US dollar,United States,2014,55,55,,,1,0,1,1,1,QALY gained,21438,21438,0,11319,Not cost-effective,Cost-effective,1.89,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,One GDPpc,Not cost-effective,,,,,,,0,0,Industry
10,2,1002,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,1,Societal,US dollar,United States,2014,55,55,,,1,0,1,1,1,QALY gained,20667,20667,0,11319,Not cost-effective,Cost-effective,1.83,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,One GDPpc,Not cost-effective,,,,,,,0,0,Industry
10,3,1003,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Healthcare/payer,US dollar,United States,2014,55,55,,,1,0,1,1,1,QALY gained,6389,6389,0,11319,Cost-effective,Cost-effective,0.56,0.75,Cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Cost-effective,0.277184384,Not cost-effective,One GDPpc,Cost-effective,0,1,1,1,0,1,4,0,Industry
10,4,1004,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Societal,US dollar,United States,2014,55,55,,,1,0,1,1,1,QALY gained,4883,4883,0,11319,Cost-effective,Cost-effective,0.43,0.75,Cost-effective,0.45,Cost-effective,0.564443129,Cost-effective,0.317316947,Not cost-effective,0.668688739,Cost-effective,0.277184384,Not cost-effective,One GDPpc,Cost-effective,0,0,0,1,0,1,2,0,Industry
10,5,1005,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV13,PCV10,PCV13 vs PCV10,Four,1,Healthcare/payer,US dollar,United States,2014,55,55,55,55,1,0,1,1,1,QALY gained,-3059,-3059,1,11319,Cost-saving,Cost-saving,-0.27,0.75,Cost-saving,0.45,Cost-saving,0.564443129,Cost-saving,0.317316947,Cost-saving,0.668688739,Cost-saving,0.277184384,Cost-saving,One GDPpc,Cost-saving,,,,,,,0,0,Industry
10,6,1006,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV13,PCV10,PCV13 vs PCV10,Four,1,Societal,US dollar,United States,2014,55,55,55,55,1,0,1,1,1,QALY gained,-5027,-5027,1,11319,Cost-saving,Cost-saving,-0.44,0.75,Cost-saving,0.45,Cost-saving,0.564443129,Cost-saving,0.317316947,Cost-saving,0.668688739,Cost-saving,0.277184384,Cost-saving,One GDPpc,Cost-saving,,,,,,,0,0,Industry
10,7,1007,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Healthcare/payer,US dollar,United States,2014,55,55,,,0,0,1,1,1,QALY gained,15752,15752,0,11319,Not cost-effective,Cost-effective,1.39,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,One GDPpc,Not cost-effective,,,,,,,0,0,Industry
10,8,1008,Wu,2016,Cost-effectiveness analysis of infant universal routine pneu,Malaysia,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Societal,US dollar,United States,2014,55,55,,,0,0,1,1,1,QALY gained,14981,14981,0,11319,Not cost-effective,Cost-effective,1.32,0.75,Not cost-effective,0.45,Not cost-effective,0.564443129,Not cost-effective,0.317316947,Not cost-effective,0.668688739,Not cost-effective,0.277184384,Not cost-effective,One GDPpc,Not cost-effective,,,,,,,0,0,Industry
11,1,1101,Krishnamoorthy,2019,Impact and cost effectiveness of pneumococcal conjugate vacc,India,Lower-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,1,Healthcare/payer,US dollar,United States,2017,3.3,3.3,,,0,0,1,1,1,DALY averted,467,467,0,1981,Cost-effective,Cost-effective,0.24,0.23,Not cost-effective,0.17,Not cost-effective,0.531177186,Cost-effective,0.079331658,Not cost-effective,0.294180445,Cost-effective,0.118529014,Not cost-effective,One GDPpc,Cost-effective,1,1,0,1,0,1,4,1,None
12,1,1201,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,0,Societal,Thai baht,Thailand,2018,1440,44.6,,,1,0,1,1,1,QALY gained,-46918,-1452,1,7297,Cost-saving,Cost-saving,-0.2,1.12,Cost-saving,0.7,Cost-saving,0.639240099,Cost-saving,0.191464001,Cost-saving,0.654853993,Cost-saving,0.271459303,Cost-saving,THB 160000,Cost-saving,,,,,,,0,1,Industry
12,2,1202,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,0,Societal,Thai baht,Thailand,2018,1440,44.6,,,1,0,1,1,1,QALY gained,-70854,-2193,1,7297,Cost-saving,Cost-saving,-0.3,1.12,Cost-saving,0.7,Cost-saving,0.639240099,Cost-saving,0.191464001,Cost-saving,0.654853993,Cost-saving,0.271459303,Cost-saving,THB 160000,Cost-saving,,,,,,,0,1,Industry
12,3,1203,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Societal,Thai baht,Thailand,2018,1146,35.5,,,1,0,1,1,1,QALY gained,-84770,-2624,1,7297,Cost-saving,Cost-saving,-0.36,1.12,Cost-saving,0.7,Cost-saving,0.639240099,Cost-saving,0.191464001,Cost-saving,0.654853993,Cost-saving,0.271459303,Cost-saving,THB 160000,Cost-saving,,,,,,,0,1,Industry
12,4,1204,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,0,Societal,Thai baht,Thailand,2018,1146,35.5,,,1,0,1,1,1,QALY gained,-99394,-3076,1,7297,Cost-saving,Cost-saving,-0.42,1.12,Cost-saving,0.7,Cost-saving,0.639240099,Cost-saving,0.191464001,Cost-saving,0.654853993,Cost-saving,0.271459303,Cost-saving,THB 160000,Cost-saving,,,,,,,0,1,Industry
12,5,1205,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,0,Societal,Thai baht,Thailand,2018,1440,44.6,,,0,0,1,1,1,QALY gained,215948,6684,0,7297,Cost-effective,Cost-effective,0.92,1.12,Cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 160000,Not cost-effective,,,,,,,0,1,Industry
12,6,1206,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,1,Societal,Thai baht,Thailand,2018,1440,44.6,,,0,0,1,1,1,QALY gained,170437,5275,0,7297,Cost-effective,Cost-effective,0.72,1.12,Cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 160000,Not cost-effective,,,,,,,0,1,Industry
12,7,1207,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Societal,Thai baht,Thailand,2018,1146,35.5,,,0,0,1,1,1,QALY gained,97269,3010,0,7297,Cost-effective,Cost-effective,0.41,1.12,Cost-effective,0.7,Cost-effective,0.639240099,Cost-effective,0.191464001,Not cost-effective,0.654853993,Cost-effective,0.271459303,Not cost-effective,THB 160000,Cost-effective,0,0,0,1,0,1,2,1,Industry
12,8,1208,Dilokthornsakul,2019,An updated cost-effectiveness analysis of pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,1,Societal,Thai baht,Thailand,2018,1146,35.5,,,0,0,1,1,1,QALY gained,73674,2280,0,7297,Cost-effective,Cost-effective,0.31,1.12,Cost-effective,0.7,Cost-effective,0.639240099,Cost-effective,0.191464001,Not cost-effective,0.654853993,Cost-effective,0.271459303,Not cost-effective,THB 160000,Cost-effective,0,0,0,1,0,1,2,1,Industry
13,1,1301,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,0,Societal,Thai baht,Thailand,2010,1440,45.4,,,1,1,1,1,1,QALY gained,519399,16392,0,5076,Not cost-effective,Not cost-effective,3.23,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,2,1302,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,0,Societal,Thai baht,Thailand,2010,1440,45.4,,,1,1,1,1,1,QALY gained,650087,20517,0,5076,Not cost-effective,Not cost-effective,4.04,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,3,1303,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,1,Societal,Thai baht,Thailand,2010,1440,45.4,,,0,0,1,1,1,QALY gained,1368072,43176,0,5076,Not cost-effective,Not cost-effective,8.51,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,4,1304,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Four,0,Societal,Thai baht,Thailand,2010,1440,45.4,,,0,0,1,1,1,QALY gained,1677379,52938,0,5076,Not cost-effective,Not cost-effective,10.43,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,5,1305,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,0,Societal,Thai baht,Thailand,2010,1930,60.9,,,1,1,1,1,1,QALY gained,527378,16644,0,5076,Not cost-effective,Not cost-effective,3.28,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,6,1306,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Societal,Thai baht,Thailand,2010,1930,60.9,,,1,1,1,1,1,QALY gained,660662,20850,0,5076,Not cost-effective,Not cost-effective,4.11,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,7,1307,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,1,Societal,Thai baht,Thailand,2010,1930,60.9,,,0,0,1,1,1,QALY gained,1490305,47034,0,5076,Not cost-effective,Not cost-effective,9.27,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
13,8,1308,Kulpeng,2013,Cost-utility analysis of 10-and 13-valent pneumococcal conju,Thailand,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,0,Societal,Thai baht,Thailand,2010,1930,60.9,,,0,0,1,1,1,QALY gained,1830716,57777,0,5076,Not cost-effective,Not cost-effective,11.38,1.12,Not cost-effective,0.7,Not cost-effective,0.639240099,Not cost-effective,0.191464001,Not cost-effective,0.654853993,Not cost-effective,0.271459303,Not cost-effective,THB 100000,Not cost-effective,,,,,,,0,0,Non-profit
14,1,1401,Haasis,2015,Do pneumococcal conjugate vaccines represent good value for ,Philippines,Lower-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,1,Healthcare/payer,Philippine peso,Philippines,2013,624,14.7,,,1,0,1,1,1,QALY gained,68182,1606,0,2871,Cost-effective,Cost-effective,0.56,0.34,Not cost-effective,0.23,Not cost-effective,0.494875427,Not cost-effective,0.089154194,Not cost-effective,0.401969294,Not cost-effective,0.161820615,Not cost-effective,"PHP 120,000",Cost-effective,1,1,1,1,1,1,6,1,Non-profit
14,2,1402,Haasis,2015,Do pneumococcal conjugate vaccines represent good value for ,Philippines,Lower-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,0,Healthcare/payer,Philippine peso,Philippines,2013,624,14.7,,,0,0,1,1,1,QALY gained,112640,2654,0,2871,Cost-effective,Cost-effective,0.92,0.34,Not cost-effective,0.23,Not cost-effective,0.494875427,Not cost-effective,0.089154194,Not cost-effective,0.401969294,Not cost-effective,0.161820615,Not cost-effective,"PHP 120,000",Cost-effective,1,1,1,1,1,1,6,1,Non-profit
14,3,1403,Haasis,2015,Do pneumococcal conjugate vaccines represent good value for ,Philippines,Lower-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,1,Healthcare/payer,Philippine peso,Philippines,2013,700,16.5,,,1,0,1,1,1,QALY gained,54510,1284,0,2871,Cost-effective,Cost-effective,0.45,0.34,Not cost-effective,0.23,Not cost-effective,0.494875427,Cost-effective,0.089154194,Not cost-effective,0.401969294,Not cost-effective,0.161820615,Not cost-effective,"PHP 120,000",Cost-effective,1,1,0,1,1,1,5,1,Non-profit
14,4,1404,Haasis,2015,Do pneumococcal conjugate vaccines represent good value for ,Philippines,Lower-middle,1,PCV13,NoVax,PCV13 vs NoVax,Three,0,Healthcare/payer,Philippine peso,Philippines,2013,700,16.5,,,0,0,1,1,1,QALY gained,84654,1994,0,2871,Cost-effective,Cost-effective,0.69,0.34,Not cost-effective,0.23,Not cost-effective,0.494875427,Not cost-effective,0.089154194,Not cost-effective,0.401969294,Not cost-effective,0.161820615,Not cost-effective,"PHP 120,000",Cost-effective,1,1,1,1,1,1,6,1,Non-profit
14,5,1405,Haasis,2015,Do pneumococcal conjugate vaccines represent good value for ,Philippines,Lower-middle,1,PCV13,PCV10,PCV13 vs PCV10,Three,1,Healthcare/payer,Philippine peso,Philippines,2013,700,16.5,624,14.7,1,0,1,1,1,QALY gained,15795,372,0,2871,Cost-effective,Cost-effective,0.13,0.34,Cost-effective,0.23,Cost-effective,0.494875427,Cost-effective,0.089154194,Not cost-effective,0.401969294,Cost-effective,0.161820615,Cost-effective,"PHP 120,000",Cost-effective,0,0,0,1,0,0,1,1,Non-profit
14,6,1406,Haasis,2015,Do pneumococcal conjugate vaccines represent good value for ,Philippines,Lower-middle,1,PCV13,PCV10,PCV13 vs PCV10,Three,0,Healthcare/payer,Philippine peso,Philippines,2013,700,16.5,624,14.7,0,0,1,1,1,QALY gained,23836,562,0,2871,Cost-effective,Cost-effective,0.2,0.34,Cost-effective,0.23,Cost-effective,0.494875427,Cost-effective,0.089154194,Not cost-effective,0.401969294,Cost-effective,0.161820615,Not cost-effective,"PHP 120,000",Cost-effective,0,0,0,1,0,1,2,1,Non-profit
15,1,1501,Zhang,2014,Cost-effectiveness analysis of pneumococcal vaccination with,Philippines,Lower-middle,1,PCV10,NoVax,PCV10 vs NoVax,Three,1,Healthcare/payer,Philippine peso,Philippines,2012,800,18.9,,,0,1,1,1,1,QALY gained,50913,1206,0,2694,Cost-effective,Cost-effective,0.45,0.34,Not cost-effective,0.23,Not cost-effective,0.494875427,Cost-effective,0.089154194,Not cost-effective,0.401969294,Not cost-effective,0.161820615,Not cost-effective,One GDPpc,Cost-effective,1,1,0,1,1,1,5,0,Industry
